Date,TimePoint,Tag,Colony,Genotype,Fragment,Picture ,AOI,File
2023-04-27,T0,5,Eevee,A,A_5,8,1,8.csv
2023-04-27,T0,19,Eevee,A,A_19,8,2,8.csv
2023-04-27,T0,74,Eevee,A,A_74,8,3,8.csv
2023-04-27,T0,79,Eevee,A,A_79,8,4,8.csv
2023-04-27,T0,80,Eevee,A,A_80,8,5,8.csv
2023-04-27,T0,82,Eevee,A,A_82,8,6,8.csv
2023-04-27,T0,83,Eevee,A,A_83,9,1,9.csv
2023-04-27,T0,96,Eevee,A,A_96,9,2,9.csv
2023-04-27,T0,105,Eevee,A,A_105,9,3,9.csv
2023-04-27,T0,107,Eevee,A,A_107,9,4,9.csv
2023-04-27,T0,109,Eevee,A,A_109,9,5,9.csv
2023-04-27,T0,110,Eevee,A,A_110,9,6,9.csv
2023-04-27,T0,111,Eevee,A,A_111,10,1,10.csv
2023-04-27,T0,121,Eevee,A,A_121,10,2,10.csv
2023-04-27,T0,201,Eevee,A,A_201,10,3,10.csv
2023-04-27,T0,202,Eevee,A,A_202,10,4,10.csv
2023-04-27,T0,205,Eevee,A,A_205,10,5,10.csv
2023-04-27,T0,209,Eevee,A,A_209,10,6,10.csv
2023-04-27,T0,214,Eevee,A,A_214,11,1,11.csv
2023-04-27,T0,287,Eevee,A,A_287,11,2,11.csv
2023-04-27,T0,305,Eevee,A,A_305,11,3,11.csv
2023-04-27,T0,310,Eevee,A,A_310,11,4,11.csv
2023-04-27,T0,321,Eevee,A,A_321,11,5,11.csv
2023-04-27,T0,324,Eevee,A,A_324,11,6,11.csv
2023-04-27,T0,740,Eevee,A,A_740,12,1,12.csv
2023-04-27,T0,741,Eevee,A,A_741,12,2,12.csv
2023-04-27,T0,742,Eevee,A,A_742,12,3,12.csv
2023-04-27,T0,743,Eevee,A,A_743,12,4,12.csv
2023-04-27,T0,511,Clefairy,C,C_511,1,1,1.csv
2023-04-27,T0,512,Clefairy,C,C_512,1,2,1.csv
2023-04-27,T0,513,Clefairy,C,C_513,1,3,1.csv
2023-04-27,T0,514,Clefairy,C,C_514,1,4,1.csv
2023-04-27,T0,515,Clefairy,C,C_515,1,5,1.csv
2023-04-27,T0,516,Clefairy,C,C_516,1,6,1.csv
2023-04-27,T0,517,Clefairy,C,C_517,1,7,1.csv
2023-04-27,T0,518,Clefairy,C,C_518,1,8,1.csv
2023-04-27,T0,519,Clefairy,C,C_519,1,9,1.csv
2023-04-27,T0,520,Clefairy,C,C_520,2,1,2.csv
2023-04-27,T0,521,Clefairy,C,C_521,2,2,2.csv
2023-04-27,T0,522,Clefairy,C,C_522,2,3,2.csv
2023-04-27,T0,523,Clefairy,C,C_523,2,4,2.csv
2023-04-27,T0,524,Clefairy,C,C_524,2,5,2.csv
2023-04-27,T0,525,Clefairy,C,C_525,2,6,2.csv
2023-04-27,T0,526,Clefairy,C,C_526,2,7,2.csv
2023-04-27,T0,527,Clefairy,C,C_527,2,8,2.csv
2023-04-27,T0,528,Clefairy,C,C_528,3,1,3.csv
2023-04-27,T0,529,Clefairy,C,C_529,3,2,3.csv
2023-04-27,T0,530,Clefairy,C,C_530,3,3,3.csv
2023-04-27,T0,531,Clefairy,C,C_531,3,4,3.csv
2023-04-27,T0,532,Clefairy,C,C_532,3,5,3.csv
2023-04-27,T0,533,Clefairy,C,C_533,3,6,3.csv
2023-04-27,T0,534,Clefairy,C,C_534,3,7,3.csv
2023-04-27,T0,535,Ditto,D,D_535,3,8,3.csv
2023-04-27,T0,536,Ditto,D,D_536,4,1,4.csv
2023-04-27,T0,537,Ditto,D,D_537,4,2,4.csv
2023-04-27,T0,538,Ditto,D,D_538,4,3,4.csv
2023-04-27,T0,539,Ditto,D,D_539,4,4,4.csv
2023-04-27,T0,540,Ditto,D,D_540,4,5,4.csv
2023-04-27,T0,541,Ditto,D,D_541,4,6,4.csv
2023-04-27,T0,542,Ditto,D,D_542,4,7,4.csv
2023-04-27,T0,543,Ditto,D,D_543,4,8,4.csv
2023-04-27,T0,544,Ditto,D,D_544,5,1,5.csv
2023-04-27,T0,545,Ditto,D,D_545,5,2,5.csv
2023-04-27,T0,546,Ditto,D,D_546,5,3,5.csv
2023-04-27,T0,547,Ditto,D,D_547,5,4,5.csv
2023-04-27,T0,548,Ditto,D,D_548,5,5,5.csv
2023-04-27,T0,549,Ditto,D,D_549,5,6,5.csv
