Tank,Beaker,Fragment,Genotype,Colony,Tag,Disease,Nutrients,Temp,Treatment
1,1,A_740,A,Eevee,740,Placebo,LN,28,LN_28_Placebo
1,2,C_534,C,Clefairy,534,Placebo,LN,28,LN_28_Placebo
1,3,D_535,D,Ditto,535,Placebo,LN,28,LN_28_Placebo
1,5,A_19,A,Eevee,19,SCTLD,LN,28,LN_28_SCTLD
1,6,C_513,C,Clefairy,513,SCTLD,LN,28,LN_28_SCTLD
1,7,D_536,D,Ditto,536,SCTLD,LN,28,LN_28_SCTLD
1,9,A_74,A,Eevee,74,SCTLD,HN,28,HN_28_SCTLD
1,10,C_514,C,Clefairy,514,SCTLD,HN,28,HN_28_SCTLD
1,11,D_537,D,Ditto,537,SCTLD,HN,28,HN_28_SCTLD
1,13,A_79,A,Eevee,79,SCTLD,HN,28,HN_28_SCTLD
1,14,C_515,C,Clefairy,515,SCTLD,HN,28,HN_28_SCTLD
1,15,D_538,D,Ditto,538,SCTLD,HN,28,HN_28_SCTLD
2,17,A_80,A,Eevee,80,Placebo,HN,31,HN_31_Placebo
2,18,D_871,D,Ditto,871,Placebo,HN,31,HN_31_Placebo
2,19,D_539,D,Ditto,539,Placebo,HN,31,HN_31_Placebo
2,21,A_82,A,Eevee,82,SCTLD,HN,31,HN_31_SCTLD
2,22,C_517,C,Clefairy,517,SCTLD,HN,31,HN_31_SCTLD
2,23,D_540,D,Ditto,540,SCTLD,HN,31,HN_31_SCTLD
2,25,A_83,A,Eevee,83,SCTLD,LN,31,LN_31_SCTLD
2,26,C_518,C,Clefairy,518,SCTLD,LN,31,LN_31_SCTLD
2,27,D_541,D,Ditto,541,SCTLD,LN,31,LN_31_SCTLD
2,29,A_96,A,Eevee,96,SCTLD,LN,31,LN_31_SCTLD
2,30,C_519,C,Clefairy,519,SCTLD,LN,31,LN_31_SCTLD
2,31,D_542,D,Ditto,542,SCTLD,LN,31,LN_31_SCTLD
5,34,A_105,A,Eevee,105,SCTLD,LN,28,LN_28_SCTLD
5,35,C_520,C,Clefairy,520,SCTLD,LN,28,LN_28_SCTLD
5,36,D_543,D,Ditto,543,SCTLD,LN,28,LN_28_SCTLD
5,37,A_107,A,Eevee,107,SCTLD,HN,28,HN_28_SCTLD
5,38,C_521,C,Clefairy,521,SCTLD,HN,28,HN_28_SCTLD
5,39,D_544,D,Ditto,544,SCTLD,HN,28,HN_28_SCTLD
5,40,A_109,A,Eevee,109,SCTLD,LN,28,LN_28_SCTLD
5,41,C_522,C,Clefairy,522,SCTLD,LN,28,LN_28_SCTLD
5,42,D_545,D,Ditto,545,SCTLD,LN,28,LN_28_SCTLD
5,43,A_110,A,Eevee,110,SCTLD,HN,28,HN_28_SCTLD
5,44,C_523,C,Clefairy,523,SCTLD,HN,28,HN_28_SCTLD
5,45,D_546,D,Ditto,546,SCTLD,HN,28,HN_28_SCTLD
5,46,A_111,A,Eevee,111,SCTLD,HN,28,HN_28_SCTLD
5,47,C_524,C,Clefairy,524,SCTLD,LN,28,LN_28_SCTLD
5,48,A_121,A,Eevee,121,SCTLD,LN,28,LN_28_SCTLD
3,49,A_201,A,Eevee,201,Placebo,LN,31,LN_31_Placebo
3,50,C_526,C,Clefairy,526,Placebo,LN,31,LN_31_Placebo
3,51,D_547,D,Ditto,547,Placebo,LN,31,LN_31_Placebo
3,53,A_202,A,Eevee,202,SCTLD,LN,31,LN_31_SCTLD
3,54,C_525,C,Clefairy,525,SCTLD,LN,31,LN_31_SCTLD
3,55,D_548,D,Ditto,548,SCTLD,LN,31,LN_31_SCTLD
3,57,A_205,A,Eevee,205,SCTLD,HN,31,HN_31_SCTLD
3,58,C_527,C,Clefairy,527,SCTLD,HN,31,HN_31_SCTLD
3,59,D_867,D,Ditto,867,SCTLD,HN,31,HN_31_SCTLD
3,61,A_209,A,Eevee,209,SCTLD,HN,31,HN_31_SCTLD
3,62,C_528,C,Clefairy,528,SCTLD,HN,31,HN_31_SCTLD
3,63,D_866,D,Ditto,866,SCTLD,HN,31,HN_31_SCTLD
4,65,A_214,A,Eevee,214,Placebo,HN,28,HN_28_Placebo
4,66,C_511,C,Clefairy,511,Placebo,HN,28,HN_28_Placebo
4,67,D_868,D,Ditto,868,Placebo,HN,28,HN_28_Placebo
4,69,A_287,A,Eevee,287,SCTLD,HN,28,HN_28_SCTLD
4,70,C_529,C,Clefairy,529,SCTLD,HN,28,HN_28_SCTLD
4,71,D_549,D,Ditto,549,SCTLD,HN,28,HN_28_SCTLD
4,73,A_305,A,Eevee,305,SCTLD,LN,28,LN_28_SCTLD
4,74,C_530,C,Clefairy,530,SCTLD,LN,28,LN_28_SCTLD
