Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.14241791,17.91665649,0.319276214,,,,FALSE,0.2,TRUE,3,13,,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,18.40111351,18.21255684,0.266659409,,,,FALSE,0.2,TRUE,3,14,,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.98690796,19.87077141,0.16424188,,,,FALSE,0.2,TRUE,3,15,,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.94576454,16.60101318,0.487550706,,,,FALSE,0.2,TRUE,3,13,,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.48851013,17.34088135,0.208778635,,,,FALSE,0.2,TRUE,3,13,,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,18.46988297,18.22388077,0.347898304,,,,FALSE,0.2,TRUE,3,14,,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,21.49522972,20.5088253,1.39498651,,,,FALSE,0.2,TRUE,3,16,,Y,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,16.48783112,16.29193115,0.277043045,,,,FALSE,0.2,TRUE,3,12,,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,16.99597168,17.01274872,0.023726316,,,,FALSE,0.2,TRUE,3,12,,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,15.95321751,15.88449383,0.097189955,,,,FALSE,0.2,TRUE,3,13,,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,17.20965576,16.92793274,0.39841786,,,,FALSE,0.2,TRUE,3,14,,N,N
A12,Sample 12,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,17.69089317,17.91665649,0.319276214,,,,FALSE,0.2,TRUE,3,14,,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,18.02400017,18.21255684,0.266659409,,,,FALSE,0.2,TRUE,3,14,,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.75463486,19.87077141,0.16424188,,,,FALSE,0.2,TRUE,3,15,,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.25626373,16.60101318,0.487550706,,,,FALSE,0.2,TRUE,3,12,,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.19325256,17.34088135,0.208778635,,,,FALSE,0.2,TRUE,3,13,,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.97788048,18.22388077,0.347898304,,,,FALSE,0.2,TRUE,3,14,,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.52242088,20.5088253,1.39498651,,,,FALSE,0.2,TRUE,3,15,,Y,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,16.0960331,16.29193115,0.277043045,,,,FALSE,0.2,TRUE,3,12,,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,17.02952576,17.01274872,0.023726316,,,,FALSE,0.2,TRUE,3,13,,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,15.81577015,15.88449383,0.097189955,,,,FALSE,0.2,TRUE,3,13,,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,16.64620781,16.92793274,0.39841786,,,,FALSE,0.2,TRUE,3,13,,N,N
B12,Sample 12,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,22.75177002,22.65230179,0.140667975,,,,FALSE,0.2,TRUE,3,19,,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,26.81642342,26.57855606,0.336396575,,,,FALSE,0.2,TRUE,3,23,,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,20.95431328,20.90817642,0.065246016,,,,FALSE,0.2,TRUE,3,16,,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,31.29728699,31.4478035,0.212861136,,,,FALSE,0.2,TRUE,3,27,,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,27.42661858,27.48029518,0.075910181,,,,FALSE,0.2,TRUE,3,23,,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,33.92511368,33.19580841,1.031390667,,,,FALSE,0.2,TRUE,3,30,,Y,N
C7,Sample 7,A,UNKNOWN,SYBR,None,22.09997177,22.17908859,0.111886732,,,,FALSE,0.2,TRUE,3,17,,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,31.87276268,31.81161499,0.086474545,,,,FALSE,0.2,TRUE,3,28,,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,28.81735039,28.76008606,0.080983989,,,,FALSE,0.2,TRUE,3,24,,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,34.6422081,34.60074615,0.05863874,,,,FALSE,0.2,TRUE,3,31,,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,25.26067352,25.13896942,0.172116935,,,,FALSE,0.2,TRUE,3,21,,N,N
C12,Sample 12,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,22.55283546,22.65230179,0.140667975,,,,FALSE,0.2,TRUE,3,19,,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,26.3406868,26.57855606,0.336396575,,,,FALSE,0.2,TRUE,3,22,,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,20.86204147,20.90817642,0.065246016,,,,FALSE,0.2,TRUE,3,16,,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,31.5983181,31.4478035,0.212861136,,,,FALSE,0.2,TRUE,3,27,,N,N
