Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.51049614,18.3854084,0.176900774,,,,FALSE,0.2,TRUE,3,13,,N,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,19.41282654,19.33053398,0.116379254,,,,FALSE,0.2,TRUE,3,15,,N,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.89307213,16.61039352,0.399769276,,,,FALSE,0.2,TRUE,3,13,,N,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,17.40078545,17.20529556,0.276465803,,,,FALSE,0.2,TRUE,3,13,,N,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,18.31550789,18.20587158,0.155050501,,,,FALSE,0.2,TRUE,3,14,,N,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,20.68228531,20.75489235,0.10268186,,,,FALSE,0.2,TRUE,3,16,,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,17.45533562,17.0759964,0.536465347,,,,FALSE,0.2,TRUE,3,14,,Y,Y,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,20.17995262,19.31261253,1.226604104,,,,FALSE,0.2,TRUE,3,17,,N,Y,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.45410156,18.27248383,0.256844908,,,,FALSE,0.2,TRUE,3,14,,N,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,17.55438614,17.52410507,0.042825244,,,,FALSE,0.2,TRUE,3,13,,N,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,18.55194855,18.54514885,0.009616225,,,,FALSE,0.2,TRUE,3,14,,N,N,N
A12,Sample 12,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.26032066,18.3854084,0.176900774,,,,FALSE,0.2,TRUE,3,14,,N,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,19.24824142,19.33053398,0.116379254,,,,FALSE,0.2,TRUE,3,14,,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.32771301,16.61039352,0.399769276,,,,FALSE,0.2,TRUE,3,12,,N,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,17.00980377,17.20529556,0.276465803,,,,FALSE,0.2,TRUE,3,13,,N,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,18.09623337,18.20587158,0.155050501,,,,FALSE,0.2,TRUE,3,14,,N,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,20.82749939,20.75489235,0.10268186,,,,FALSE,0.2,TRUE,3,16,,N,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,16.69665909,17.0759964,0.536465347,,,,FALSE,0.2,TRUE,3,13,,N,Y,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.44527245,19.31261253,1.226604104,,,,FALSE,0.2,TRUE,3,14,,N,Y,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.090868,18.27248383,0.256844908,,,,FALSE,0.2,TRUE,3,14,,N,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,17.4938221,17.52410507,0.042825244,,,,FALSE,0.2,TRUE,3,13,,N,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,18.53834915,18.54514885,0.009616225,,,,FALSE,0.2,TRUE,3,14,,N,N,N
B12,Sample 12,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,34.22831345,34.24032211,0.01698282,,,,FALSE,0.2,TRUE,3,29,,N,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,33.61699677,33.7071991,0.127562657,,,,FALSE,0.2,TRUE,3,29,,N,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,31.49893188,31.35492706,0.203652218,,,,FALSE,0.2,TRUE,3,27,,N,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,23.76444817,23.61611176,0.209778011,,,,FALSE,0.2,TRUE,3,20,,N,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,37.09791565,35.7585907,1.894088864,,,,FALSE,0.2,TRUE,3,32,,N,Y,N
C6,Sample 6,A,UNKNOWN,SYBR,None,27.91857529,27.78119659,0.194282815,,,,FALSE,0.2,TRUE,3,23,,N,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,31.77625656,31.66234016,0.161102116,,,,FALSE,0.2,TRUE,3,27,,N,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,33.36524582,33.31814575,0.066609554,,,,FALSE,0.2,TRUE,3,29,,N,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,31.23940659,31.34815788,0.153797552,,,,FALSE,0.2,TRUE,3,27,,N,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,32.32780457,32.34999084,0.031373441,,,,FALSE,0.2,TRUE,3,28,,N,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,33.63473892,33.29883575,0.475041509,,,,FALSE,0.2,TRUE,3,29,,N,N,N
C12,Sample 12,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,34.25233078,34.24032211,0.01698282,,,,FALSE,0.2,TRUE,3,29,,N,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,33.79739761,33.7071991,0.127562657,,,,FALSE,0.2,TRUE,3,29,,N,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,31.21092415,31.35492706,0.203652218,,,,FALSE,0.2,TRUE,3,27,,N,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,23.46777725,23.61611176,0.209778011,,,,FALSE,0.2,TRUE,3,20,,N,N,N
D5,Sample 5,A,UNKNOWN,SYBR,None,34.41926956,35.7585907,1.894088864,,,,FALSE,0.2,TRUE,3,30,,N,Y,N
D6,Sample 6,A,UNKNOWN,SYBR,None,27.6438179,27.78119659,0.194282815,,,,FALSE,0.2,TRUE,3,23,,N,N,N
D7,Sample 7,A,UNKNOWN,SYBR,None,31.54842377,31.66234016,0.161102116,,,,FALSE,0.2,TRUE,3,27,,N,N,N
D8,Sample 8,A,UNKNOWN,SYBR,None,33.27104568,33.31814575,0.066609554,,,,FALSE,0.2,TRUE,3,29,,N,N,N
D9,Sample 9,A,UNKNOWN,SYBR,None,31.45690918,31.34815788,0.153797552,,,,FALSE,0.2,TRUE,3,27,,N,N,N
D10,Sample 10,A,UNKNOWN,SYBR,None,32.37217331,32.34999084,0.031373441,,,,FALSE,0.2,TRUE,3,28,,N,N,N
D11,Sample 11,A,UNKNOWN,SYBR,None,32.96292877,33.29883575,0.475041509,,,,FALSE,0.2,TRUE,3,29,,N,N,N
D12,Sample 12,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
E1,Sample 1,B,UNKNOWN,SYBR,None,34.07723999,34.07723999,,,,,FALSE,0.2,TRUE,3,30,,N,N,N
E2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,38.18652725,,,,,FALSE,0.2,TRUE,3,35,,N,N,N
E3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,Y
E4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,33.97134781,,,,,FALSE,0.2,TRUE,3,39,,N,N,Y
E5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,39.02338028,,,,,FALSE,0.2,TRUE,3,35,,N,N,N
E6,Sample 6,B,UNKNOWN,SYBR,None,38.67420197,38.67420197,,,,,FALSE,0.2,TRUE,3,34,,N,N,N
E7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,38.49769974,,,,,FALSE,0.2,TRUE,3,34,,N,N,N
E8,Sample 8,B,UNKNOWN,SYBR,None,37.58819962,37.58819962,,,,,FALSE,0.2,TRUE,3,33,,N,N,N
E9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,35.76536179,,,,,FALSE,0.2,TRUE,3,37,,N,N,Y
E10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,36.86368942,,,,,FALSE,0.2,TRUE,3,37,,N,N,Y
E11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,35,,N,N,N
E12,Sample 12,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
F1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,34.07723999,,,,,FALSE,0.2,TRUE,3,35,,N,N,N
F2,Sample 2,B,UNKNOWN,SYBR,None,38.18652725,38.18652725,,,,,FALSE,0.2,TRUE,3,33,,N,N,N
F3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,37,,N,N,Y
F4,Sample 4,B,UNKNOWN,SYBR,None,33.97134781,33.97134781,,,,,FALSE,0.2,TRUE,3,30,,N,N,N
F5,Sample 5,B,UNKNOWN,SYBR,None,39.02338028,39.02338028,,,,,FALSE,0.2,TRUE,3,35,,N,N,N
F6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,38.67420197,,,,,FALSE,0.2,TRUE,3,39,,N,N,Y
F7,Sample 7,B,UNKNOWN,SYBR,None,38.49769974,38.49769974,,,,,FALSE,0.2,TRUE,3,34,,N,N,N
F8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,37.58819962,,,,,FALSE,0.2,TRUE,3,39,,N,N,Y
F9,Sample 9,B,UNKNOWN,SYBR,None,35.76536179,35.76536179,,,,,FALSE,0.2,TRUE,3,31,,N,N,N
F10,Sample 10,B,UNKNOWN,SYBR,None,36.86368942,36.86368942,,,,,FALSE,0.2,TRUE,3,32,,N,N,N
F11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,Y
F12,Sample 12,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,21.1792469,21.19770432,0.026101375,,,,FALSE,0.2,TRUE,3,17,,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,21.9695282,21.94736099,0.031350512,,,,FALSE,0.2,TRUE,3,17,,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,20.54832458,20.54057693,0.010955484,,,,FALSE,0.2,TRUE,3,17,,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,21.45383263,21.50626373,0.074147433,,,,FALSE,0.2,TRUE,3,18,,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,20.52846146,20.57598114,0.067202978,,,,FALSE,0.2,TRUE,3,16,,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,23.11858559,22.95464325,0.231849477,,,,FALSE,0.2,TRUE,3,18,,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,20.48316765,20.52024841,0.05244147,,,,FALSE,0.2,TRUE,3,16,,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,21.12093353,20.87996483,0.340781212,,,,FALSE,0.2,TRUE,3,16,,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,20.67965126,20.80348969,0.175132632,,,,FALSE,0.2,TRUE,3,16,,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,21.61792564,21.63110352,0.018636325,,,,FALSE,0.2,TRUE,3,17,,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,21.22217369,21.1799221,0.059752766,,,,FALSE,0.2,TRUE,3,17,,N,N,N
G12,Sample 12,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,21.21615982,21.19770432,0.026101375,,,,FALSE,0.2,TRUE,3,16,,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,21.92519188,21.94736099,0.031350512,,,,FALSE,0.2,TRUE,3,17,,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,20.53283119,20.54057693,0.010955484,,,,FALSE,0.2,TRUE,3,17,,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,21.55869293,21.50626373,0.074147433,,,,FALSE,0.2,TRUE,3,18,,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,20.62350082,20.57598114,0.067202978,,,,FALSE,0.2,TRUE,3,16,,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,22.79070091,22.95464325,0.231849477,,,,FALSE,0.2,TRUE,3,18,,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,20.55733109,20.52024841,0.05244147,,,,FALSE,0.2,TRUE,3,16,,N,N,N
