Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,17.9334774,17.9044342,0.041074634,,,,FALSE,0.1,TRUE,3,13,77.0283432,,,,N,N,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,18.65867805,18.50660324,0.21506761,,,,FALSE,0.1,TRUE,3,15,77.17766571,,,,N,N,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.6010704,16.39658165,0.289190769,,,,FALSE,0.1,TRUE,3,13,76.87844849,,,,N,N,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,18.08084679,17.92111969,0.225886881,,,,FALSE,0.1,TRUE,3,14,76.87844849,,,,N,N,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,Undetermined,15.8882513,,,,,FALSE,0.1,TRUE,3,39,61.19718933,,,,N,Y,Y,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.85923958,17.97618866,0.165389627,,,,FALSE,0.1,TRUE,3,14,76.87878418,,,,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,Undetermined,18.11003113,,,,,FALSE,0.1,TRUE,3,15,66.27694702,,,,N,Y,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.83005333,18.67019653,0.2260703,,,,FALSE,0.1,TRUE,3,15,77.17854309,,,,N,N,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,16.49348831,16.25070572,0.343345076,,,,FALSE,0.1,TRUE,3,13,76.87762451,,,,N,N,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,16.64842987,16.64842987,,,,,FALSE,0.1,TRUE,3,13,77.02696228,,,,N,N,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,18.3670311,18.24458313,0.17316623,,,,FALSE,0.1,TRUE,3,15,77.02820587,,,,N,N,N,N
A12,,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34571075,,,,N,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,17.8753891,17.9044342,0.041074634,,,,FALSE,0.1,TRUE,3,14,77.0283432,,,,N,N,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,18.35452652,18.50660324,0.21506761,,,,FALSE,0.1,TRUE,3,15,77.0283432,,,,N,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.1920929,16.39658165,0.289190769,,,,FALSE,0.1,TRUE,3,13,76.87844849,,,,N,N,N,N
