Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,19.26062965,18.77226639,0.6906486154,,,,FALSE,0.1,TRUE,3,15,,Y,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.59353256,16.37930489,0.3029636741,,,,FALSE,0.1,TRUE,3,13,,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.37379456,16.18640709,0.2650058866,,,,FALSE,0.1,TRUE,3,13,,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,18.66728973,18.73222733,0.09183427691,,,,FALSE,0.1,TRUE,3,14,,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.44992065,17.29849625,0.2141451091,,,,FALSE,0.1,TRUE,3,13,,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,15.98584557,15.82952118,0.2210767418,,,,FALSE,0.1,TRUE,3,13,,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,18.55572891,18.5147686,0.05792662874,,,,FALSE,0.1,TRUE,3,14,,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.07561302,17.06382942,0.01666452736,,,,FALSE,0.1,TRUE,3,13,,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,17.33173561,17.47397614,0.2011571229,,,,FALSE,0.1,TRUE,3,13,,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,18.35948753,18.32531738,0.04832389206,,,,FALSE,0.1,TRUE,3,14,,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,16.53915787,16.39783287,0.1998637319,,,,FALSE,0.1,TRUE,3,13,,N,N
A12,,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.28390503,18.77226639,0.6906486154,,,,FALSE,0.1,TRUE,3,14,,Y,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.16507721,16.37930489,0.3029636741,,,,FALSE,0.1,TRUE,3,13,,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,15.99901962,16.18640709,0.2650058866,,,,FALSE,0.1,TRUE,3,13,,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,18.79716301,18.73222733,0.09183427691,,,,FALSE,0.1,TRUE,3,15,,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.14707375,17.29849625,0.2141451091,,,,FALSE,0.1,TRUE,3,14,,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,15.67319584,15.82952118,0.2210767418,,,,FALSE,0.1,TRUE,3,12,,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,18.47380829,18.5147686,0.05792662874,,,,FALSE,0.1,TRUE,3,14,,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.05204582,17.06382942,0.01666452736,,,,FALSE,0.1,TRUE,3,13,,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,17.61621475,17.47397614,0.2011571229,,,,FALSE,0.1,TRUE,3,14,,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,18.29114723,18.32531738,0.04832389206,,,,FALSE,0.1,TRUE,3,14,,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,16.25650787,16.39783287,0.1998637319,,,,FALSE,0.1,TRUE,3,14,,N,N
B12,,Ofav,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,32.79927444,32.52198792,0.3921450675,,,,FALSE,0.1,TRUE,3,29,,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,30.81323433,30.78386688,0.04153319076,,,,FALSE,0.1,TRUE,3,27,,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,31.71422768,31.25072098,0.6554961205,,,,FALSE,0.1,TRUE,3,28,,Y,N
C4,Sample 4,A,UNKNOWN,SYBR,None,31.91298485,31.90935516,0.005133148748,,,,FALSE,0.1,TRUE,3,28,,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,31.69800758,31.6006813,0.1376414895,,,,FALSE,0.1,TRUE,3,28,,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,31.27322578,31.09947395,0.2457221895,,,,FALSE,0.1,TRUE,3,28,,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,31.37084961,31.25400162,0.1652466655,,,,FALSE,0.1,TRUE,3,28,,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,32.12146759,31.92258453,0.2812644541,,,,FALSE,0.1,TRUE,3,28,,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,32.61550903,32.38043976,0.3324408531,,,,FALSE,0.1,TRUE,3,29,,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,32.93807602,32.58890533,0.4938046038,,,,FALSE,0.1,TRUE,3,29,,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,31.98218155,31.91308594,0.0977159515,,,,FALSE,0.1,TRUE,3,28,,N,N
C12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,32.24469757,32.52198792,0.3921450675,,,,FALSE,0.1,TRUE,3,28,,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,30.75449753,30.78386688,0.04153319076,,,,FALSE,0.1,TRUE,3,27,,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,30.78721619,31.25072098,0.6554961205,,,,FALSE,0.1,TRUE,3,27,,Y,N
