Tank,Beaker,Fragment,Genotype,Tag,Disease,Nutrients,Temp,Treatment,Start_Of_Lesion,Date of Total Annihilation ,Notes,Days_until_lesion,Days_until_death,Lesion_progression_to_dead,Fu.stat_dead,Fu.stat_les,Disease_Status,Fu.time_tot,Fu.stat_tot,Fu.time_texp
1,1,A_740,A,740,Placebo,LN,28,LN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
1,2,C_534,C,534,Placebo,LN,28,LN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
1,3,D_535,D,535,Placebo,LN,28,LN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
1,5,A_19,A,19,SCTLD,LN,28,LN_28_SCTLD,2023-06-21,2023-06-24,MaybeOk,35,100,0,0,1,Disease,,,
1,6,C_513,C,513,SCTLD,LN,28,LN_28_SCTLD,2023-06-18,2023-06-21,,32,35,3,1,1,Disease,,,
1,7,D_536,D,536,SCTLD,LN,28,LN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
1,9,A_74,A,74,SCTLD,HN,28,HN_28_SCTLD,2023-06-16,2023-06-19,,30,33,3,1,1,Disease,,,
1,10,C_514,C,514,SCTLD,HN,28,HN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
1,11,D_537,D,537,SCTLD,HN,28,HN_28_SCTLD,2023-06-18,2023-06-24,,32,100,0,0,1,Disease,,,
1,13,A_79,A,79,SCTLD,HN,28,HN_28_SCTLD,2023-06-17,2023-06-19,,31,33,2,1,1,Disease,,,
1,14,C_515,C,515,SCTLD,HN,28,HN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
1,15,D_538,D,538,SCTLD,HN,28,HN_28_SCTLD,2023-06-16,2023-06-19,,30,33,3,1,1,Disease,,,
2,17,A_80,A,80,Placebo,HN,31,HN_31_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
2,18,D_871,D,871,Placebo,HN,31,HN_31_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
2,19,D_539,D,539,Placebo,HN,31,HN_31_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
2,21,A_82,A,82,SCTLD,HN,31,HN_31_SCTLD,2023-06-19,2023-06-24,,33,38,5,1,1,Disease,,,
2,22,C_517,C,517,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,23,D_540,D,540,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,25,A_83,A,83,SCTLD,LN,31,LN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,26,C_518,C,518,SCTLD,LN,31,LN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,27,D_541,D,541,SCTLD,LN,31,LN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,29,A_96,A,96,SCTLD,LN,31,LN_31_SCTLD,2023-06-18,2023-06-21,,32,35,3,1,1,Disease,,,
2,30,C_519,C,519,SCTLD,LN,31,LN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
2,31,D_542,D,542,SCTLD,LN,31,LN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
5,33,D_873,D,873,Placebo,LN,28,LN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
5,34,A_105,A,105,SCTLD,LN,28,LN_28_SCTLD,2023-06-19,2023-06-24,,33,38,5,1,1,Disease,,,
