"","strata","time","n.risk","n.event","surv","std.err"
"1","Temp=28, Colony=A, Nutrients=HN",46,6,2,0.666666666666667,0.192450089729875
"2","Temp=28, Colony=A, Nutrients=HN",48,3,1,0.5,0.204124145231932
"3","Temp=28, Colony=A, Nutrients=HN",50,2,2,0.166666666666667,0.152145154862546
"4","Temp=28, Colony=A, Nutrients=HN",52,1,0,0.166666666666667,0.152145154862546
"5","Temp=28, Colony=A, Nutrients=HN",54,1,0,0.166666666666667,0.152145154862546
"6","Temp=28, Colony=A, Nutrients=LN",46,6,0,1,0
"7","Temp=28, Colony=A, Nutrients=LN",48,6,1,0.833333333333333,0.152145154862546
"8","Temp=28, Colony=A, Nutrients=LN",50,4,1,0.666666666666667,0.192450089729875
"9","Temp=28, Colony=A, Nutrients=LN",52,2,2,0.333333333333333,0.192450089729875
"10","Temp=28, Colony=A, Nutrients=LN",54,2,0,0.333333333333333,0.192450089729875
"11","Temp=28, Colony=C, Nutrients=HN",46,4,1,0.8,0.178885438199983
"12","Temp=28, Colony=C, Nutrients=HN",48,3,1,0.6,0.219089023002066
"13","Temp=28, Colony=C, Nutrients=HN",50,3,0,0.6,0.219089023002066
"14","Temp=28, Colony=C, Nutrients=HN",52,3,0,0.6,0.219089023002066
"15","Temp=28, Colony=C, Nutrients=HN",54,3,0,0.6,0.219089023002066
"16","Temp=28, Colony=C, Nutrients=LN",46,6,2,0.666666666666667,0.192450089729875
"17","Temp=28, Colony=C, Nutrients=LN",48,4,2,0.333333333333333,0.192450089729875
"18","Temp=28, Colony=C, Nutrients=LN",50,2,0,0.333333333333333,0.192450089729875
"19","Temp=28, Colony=C, Nutrients=LN",52,2,0,0.333333333333333,0.192450089729875
"20","Temp=28, Colony=C, Nutrients=LN",54,2,0,0.333333333333333,0.192450089729875
"21","Temp=28, Colony=D, Nutrients=HN",46,5,2,0.6,0.219089023002066
"22","Temp=28, Colony=D, Nutrients=HN",48,3,1,0.4,0.219089023002066
"23","Temp=28, Colony=D, Nutrients=HN",50,1,1,0.2,0.178885438199983
"24","Temp=28, Colony=D, Nutrients=HN",52,1,0,0.2,0.178885438199983
"25","Temp=28, Colony=D, Nutrients=HN",54,1,0,0.2,0.178885438199983
"26","Temp=28, Colony=D, Nutrients=LN",46,5,1,0.8,0.178885438199983
"27","Temp=28, Colony=D, Nutrients=LN",48,3,3,0.2,0.178885438199983
"28","Temp=28, Colony=D, Nutrients=LN",50,1,0,0.2,0.178885438199983
"29","Temp=28, Colony=D, Nutrients=LN",52,1,0,0.2,0.178885438199983
"30","Temp=28, Colony=D, Nutrients=LN",54,1,0,0.2,0.178885438199983
"31","Temp=31, Colony=A, Nutrients=HN",46,3,0,1,0
"32","Temp=31, Colony=A, Nutrients=HN",48,3,0,1,0
"33","Temp=31, Colony=A, Nutrients=HN",50,2,1,0.666666666666667,0.272165526975909
"34","Temp=31, Colony=A, Nutrients=HN",52,2,0,0.666666666666667,0.272165526975909
"35","Temp=31, Colony=A, Nutrients=HN",54,2,0,0.666666666666667,0.272165526975909
"36","Temp=31, Colony=A, Nutrients=LN",46,3,0,1,0
"37","Temp=31, Colony=A, Nutrients=LN",48,3,1,0.666666666666667,0.272165526975909
"38","Temp=31, Colony=A, Nutrients=LN",50,1,1,0.333333333333333,0.272165526975909
"39","Temp=31, Colony=A, Nutrients=LN",52,1,0,0.333333333333333,0.272165526975909
"40","Temp=31, Colony=A, Nutrients=LN",54,1,0,0.333333333333333,0.272165526975909
"41","Temp=31, Colony=C, Nutrients=HN",46,3,0,1,0
"42","Temp=31, Colony=C, Nutrients=HN",48,3,0,1,0
"43","Temp=31, Colony=C, Nutrients=HN",50,3,0,1,0
"44","Temp=31, Colony=C, Nutrients=HN",52,3,0,1,0
"45","Temp=31, Colony=C, Nutrients=HN",54,3,0,1,0
"46","Temp=31, Colony=C, Nutrients=LN",46,3,0,1,0
"47","Temp=31, Colony=C, Nutrients=LN",48,3,0,1,0
"48","Temp=31, Colony=C, Nutrients=LN",50,3,0,1,0
"49","Temp=31, Colony=C, Nutrients=LN",52,3,0,1,0
"50","Temp=31, Colony=C, Nutrients=LN",54,3,0,1,0
"51","Temp=31, Colony=D, Nutrients=HN",46,3,0,1,0
"52","Temp=31, Colony=D, Nutrients=HN",48,3,0,1,0
"53","Temp=31, Colony=D, Nutrients=HN",50,3,0,1,0
"54","Temp=31, Colony=D, Nutrients=HN",52,3,0,1,0
"55","Temp=31, Colony=D, Nutrients=HN",54,3,0,1,0
"56","Temp=31, Colony=D, Nutrients=LN",46,3,0,1,0
"57","Temp=31, Colony=D, Nutrients=LN",48,3,0,1,0
"58","Temp=31, Colony=D, Nutrients=LN",50,3,0,1,0
"59","Temp=31, Colony=D, Nutrients=LN",52,3,0,1,0
"60","Temp=31, Colony=D, Nutrients=LN",54,3,0,1,0
