"","strata","time","n.risk","n.event","surv","std.err"
"1","Temp=28",46,32,8,0.757575757575758,0.074600903623838
"2","Temp=28",48,22,9,0.484848484848485,0.086998856068518
"3","Temp=28",50,13,4,0.363636363636364,0.0837393066312433
"4","Temp=28",52,10,2,0.303030303030303,0.0800005565275464
"5","Temp=28",54,10,0,0.303030303030303,0.0800005565275464
"6","Temp=31",46,18,0,1,0
"7","Temp=31",48,18,1,0.944444444444444,0.0539902953226417
"8","Temp=31",50,15,2,0.833333333333333,0.0878410461157883
"9","Temp=31",52,15,0,0.833333333333333,0.0878410461157883
"10","Temp=31",54,15,0,0.833333333333333,0.0878410461157883
