"","strata","time","n.risk","n.event","surv","std.err"
"1","Treatment=LN_28",46,17,3,0.823529411764706,0.0924594409403971
"2","Treatment=LN_28",48,13,6,0.470588235294118,0.121057824806477
"3","Treatment=LN_28",50,7,1,0.411764705882353,0.119364624987269
"4","Treatment=LN_28",52,5,2,0.294117647058824,0.110510169015026
"5","Treatment=LN_28",54,5,0,0.294117647058824,0.110510169015026
"6","Treatment=HN_28",46,15,5,0.6875,0.11587810136087
"7","Treatment=HN_28",48,9,3,0.5,0.125
"8","Treatment=HN_28",50,6,3,0.3125,0.11587810136087
"9","Treatment=HN_28",52,5,0,0.3125,0.11587810136087
"10","Treatment=HN_28",54,5,0,0.3125,0.11587810136087
"11","Treatment=LN_31",46,9,0,1,0
"12","Treatment=LN_31",48,9,1,0.888888888888889,0.104756560175785
"13","Treatment=LN_31",50,7,1,0.777777777777778,0.13857990321385
"14","Treatment=LN_31",52,7,0,0.777777777777778,0.13857990321385
"15","Treatment=LN_31",54,7,0,0.777777777777778,0.13857990321385
"16","Treatment=HN_31",46,9,0,1,0
"17","Treatment=HN_31",48,9,0,1,0
"18","Treatment=HN_31",50,8,1,0.888888888888889,0.104756560175785
"19","Treatment=HN_31",52,8,0,0.888888888888889,0.104756560175785
"20","Treatment=HN_31",54,8,0,0.888888888888889,0.104756560175785
